shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
Azul,41.641407,-4.7325,1
Azul,41.64114, -4.7325,2
Azul,41.64109, -4.73336,3
Azul,41.64102, -4.73449,4
Azul,41.64094, -4.73583,5
Azul,41.64092, -4.73626,6
Azul,41.64091, -4.73639,7
Azul,41.64091, -4.7364,8
Azul,41.6409, -4.73657,9
Azul,41.64089, -4.73677,10
Azul,41.64086, -4.73711,11
Azul,41.64084, -4.73748,12
Azul,41.64083, -4.73759,13
Azul,41.64083, -4.73769,14
Azul,41.64076, -4.73772,15
Azul,41.64051, -4.73783,16
Azul,41.64022, -4.73795,17
Azul,41.63998, -4.73805,18
Azul,41.63993, -4.73807,19
Azul,41.63926, -4.73833,20
Azul,41.63919, -4.73837,21
Azul,41.63901, -4.73844,22
Azul,41.63884, -4.73851,23
Azul,41.63877, -4.73853,24
Azul,41.63813, -4.73879,25
Azul,41.63789, -4.73888,26
Azul,41.63774, -4.73894,27
Azul,41.63764, -4.73898,28
Azul,41.63761, -4.73899,29
Azul,41.63747, -4.73904,30
Azul,41.63743, -4.73906,31
Azul,41.63731, -4.7391,32
Azul,41.63701, -4.7392,33
Azul,41.63673, -4.73929,34
Azul,41.63658, -4.73934,35
Azul,41.63578, -4.73963,36
Azul,41.63564, -4.73968,37
Azul,41.63549, -4.73973,38
Azul,41.63542, -4.73975,39
Azul,41.63528, -4.73979,40
Azul,41.6352, -4.73981,41
Azul,41.63452, -4.73994,42
Azul,41.63399, -4.74003,43
Azul,41.63395, -4.74004,44
Azul,41.63381, -4.74005,45
Azul,41.6335, -4.74009,46
Azul,41.63334, -4.74012,47
Azul,41.63296, -4.74019,48
Azul,41.63283, -4.74022,49
Azul,41.63289, -4.74076,50
Azul,41.63294, -4.74127,51
Azul,41.63296, -4.74145,52
Azul,41.63304, -4.74211,53
Azul,41.63307, -4.74248,54
Azul,41.63307, -4.74257,55
Azul,41.63316, -4.74329,56
Azul,41.63327, -4.74424,57
Azul,41.63326, -4.74435,58
Azul,41.63326, -4.74447,59
Azul,41.63326, -4.74454,60
Azul,41.63334, -4.74523,61
Azul,41.63349, -4.74667,62
Azul,41.63354, -4.74714,63
Azul,41.63355, -4.74723,64
Azul,41.63357, -4.74742,65
Azul,41.6336, -4.74771,66
Azul,41.63363, -4.74797,67
Azul,41.63365, -4.74816,68
Azul,41.63372, -4.74867,69
Azul,41.63374, -4.74891,70
Azul,41.63376, -4.74905,71
Azul,41.63377, -4.74907,72
Azul,41.63378, -4.74908,73
Azul,41.63379, -4.7491,74
Azul,41.6338, -4.74911,75
Azul,41.6338, -4.74912,76
Azul,41.63391, -4.74939,77
Azul,41.63394, -4.74939,78
Azul,41.63396, -4.7494,79
Azul,41.63399, -4.74941,80
Azul,41.63402, -4.74942,81
Azul,41.63404, -4.74944,82
Azul,41.63407, -4.74946,83
Azul,41.63409, -4.74948,84
Azul,41.63411, -4.74951,85
Azul,41.63411, -4.74952,86
Azul,41.63412, -4.74953,87
Azul,41.63413, -4.74954,88
Azul,41.63413, -4.74955,89
Azul,41.63414, -4.74957,90
Azul,41.63414, -4.74958,91
Azul,41.63414, -4.74959,92
Azul,41.63415, -4.7496,93
Azul,41.63374, -4.74998,94
Azul,41.63367, -4.75007,95
Azul,41.63339, -4.75042,96
Azul,41.63335, -4.75047,97
Azul,41.63326, -4.7506,98
Azul,41.63295, -4.75099,99
Azul,41.63294, -4.751,100
Azul,41.63271, -4.75127,101
Azul,41.63239, -4.75161,102
Azul,41.63217, -4.75181,103
Azul,41.63193, -4.75206,104
Azul,41.63168, -4.7523,105
Azul,41.6314, -4.75258,106
Azul,41.63105, -4.75291,107
Azul,41.63078, -4.75319,108
Azul,41.63052, -4.75346,109
Azul,41.63028, -4.75368,110
Azul,41.63001, -4.75398,111
Azul,41.62976, -4.75426,112
Azul,41.62949, -4.75459,113
Azul,41.62925, -4.75492,114
Azul,41.62908, -4.7552,115
Azul,41.62896, -4.75539,116
Azul,41.62891, -4.75549,117
Azul,41.62884, -4.75564,118
Azul,41.62868, -4.75598,119
Azul,41.62859, -4.75618,120
Azul,41.62846, -4.75651,121
Azul,41.62845, -4.75652,122
Azul,41.62836, -4.75679,123
Azul,41.62816, -4.75737,124
Azul,41.62799, -4.75789,125
Azul,41.62793, -4.75806,126
Azul,41.62781, -4.75844,127
Azul,41.62748, -4.75936,128
Azul,41.62726, -4.76,129
Azul,41.62688, -4.76109,130
Azul,41.62647, -4.76224,131
Azul,41.62617, -4.76312,132
Azul,41.62549, -4.76509,133
Azul,41.62543, -4.76526,134
Azul,41.62524, -4.76584,135
Azul,41.62506, -4.76633,136
Azul,41.62496, -4.76658,137
Azul,41.62452, -4.76785,138
Azul,41.62445, -4.76807,139
Azul,41.62436, -4.76838,140
Azul,41.62439, -4.76841,141
Azul,41.6244, -4.76843,142
Azul,41.62442, -4.76845,143
Azul,41.62443, -4.76848,144
Azul,41.62445, -4.76851,145
Azul,41.62446, -4.76854,146
Azul,41.62446, -4.76857,147
Azul,41.62447, -4.7686,148
Azul,41.62447, -4.76864,149
Azul,41.62448, -4.76867,150
Azul,41.62448, -4.76871,151
Azul,41.62448, -4.76872,152
Azul,41.62447, -4.76874,153
Azul,41.62447, -4.76875,154
Azul,41.62447, -4.76876,155
Azul,41.62446, -4.76878,156
Azul,41.62446, -4.76879,157
Azul,41.62445, -4.76881,158
Azul,41.62444, -4.76882,159
Azul,41.62442, -4.76885,160
Azul,41.62441, -4.76887,161
Azul,41.62439, -4.76889,162
Azul,41.62437, -4.7689,163
Azul,41.62435, -4.76892,164
Azul,41.62433, -4.76893,165
Azul,41.6243, -4.76894,166
Azul,41.62428, -4.76894,167
Azul,41.62426, -4.76895,168
Azul,41.62424, -4.76895,169
Azul,41.62421, -4.76894,170
Azul,41.62419, -4.76894,171
Azul,41.62407, -4.76922,172
Azul,41.62406, -4.76926,173
Azul,41.62406, -4.76928,174
Azul,41.62407, -4.7693,175
Azul,41.62407, -4.76933,176
Azul,41.62407, -4.76937,177
Azul,41.62407, -4.76945,178
Azul,41.62406, -4.76949,179
Azul,41.62404, -4.76956,180
Azul,41.62403, -4.76958,181
Azul,41.6239, -4.76993,182
Azul,41.62388, -4.76998,183
Azul,41.62372, -4.77043,184
Azul,41.62366, -4.7706,185
Azul,41.62344, -4.77121,186
Azul,41.62307, -4.77224,187
Azul,41.62305, -4.77229,188
Azul,41.62291, -4.77269,189
Azul,41.62276, -4.77311,190
Azul,41.62272, -4.77323,191
Azul,41.62253, -4.77378,192
Azul,41.62243, -4.77404,193
Azul,41.62236, -4.77425,194
Azul,41.62224, -4.77456,195
Azul,41.62224, -4.77457,196
Azul,41.62224, -4.77458,197
Azul,41.62224, -4.7746,198
Azul,41.62224, -4.77462,199
Azul,41.62223, -4.77463,200
Azul,41.62223, -4.77465,201
Azul,41.62222, -4.77466,202
Azul,41.62221, -4.77467,203
Azul,41.62221, -4.77469,204
Azul,41.6222, -4.7747,205
Azul,41.62219, -4.77471,206
Azul,41.62218, -4.77472,207
Azul,41.62217, -4.77473,208
Azul,41.62216, -4.77474,209
Azul,41.62215, -4.77475,210
Azul,41.62214, -4.77475,211
Azul,41.62213, -4.77476,212
Azul,41.62212, -4.77476,213
Azul,41.62211, -4.77476,214
Azul,41.6221, -4.77477,215
Azul,41.62208, -4.77477,216
Azul,41.62207, -4.77477,217
Azul,41.62206, -4.77477,218
Azul,41.62205, -4.77476,219
Azul,41.62204, -4.77476,220
Azul,41.62202, -4.77476,221
Azul,41.62201, -4.77475,222
Azul,41.622, -4.77474,223
Azul,41.62199, -4.77473,224
Azul,41.62198, -4.77472,225
Azul,41.62197, -4.77471,226
Azul,41.62196, -4.77471,227
Azul,41.62195, -4.7747,228
Azul,41.62194, -4.77469,229
Azul,41.62193, -4.77468,230
Azul,41.62192, -4.77467,231
Azul,41.62192, -4.77466,232
Azul,41.62191, -4.77464,233
Azul,41.62191, -4.77463,234
Azul,41.6219, -4.77462,235
Azul,41.6219, -4.77461,236
Azul,41.6219, -4.77459,237
Azul,41.6219, -4.77458,238
Azul,41.6219, -4.77457,239
Azul,41.6219, -4.77456,240
Azul,41.62191, -4.77453,241
Azul,41.6218, -4.77442,242
Azul,41.62137, -4.77415,243
Azul,41.62117, -4.77402,244
Azul,41.62115, -4.77401,245
Azul,41.62112, -4.774,246
Azul,41.6211, -4.774,247
Azul,41.62108, -4.77399,248
Azul,41.62104, -4.774,249
Azul,41.62099, -4.77401,250
Azul,41.62074, -4.77409,251
Azul,41.61915, -4.77466,252
Azul,41.6191, -4.77468,253
Azul,41.61908, -4.77469,254
Azul,41.61906, -4.77469,255
Azul,41.61905, -4.7747,256
Azul,41.61905, -4.77471,257
Azul,41.61904, -4.77472,258
Azul,41.61903, -4.77473,259
Azul,41.61903, -4.77474,260
Azul,41.61895, -4.77503,261
Azul,41.61883, -4.77536,262
Azul,41.61873, -4.77565,263
